date,product_id,product_name,category,price,quantity_sold,total_sales
2024-04-12,104,Gadget D,Home,25,13,325
2024-06-28,101,Widget A,Electronics,50,16,800
2024-04-02,106,Item F,Clothing,10,13,130
2024-01-15,103,Gadget C,Home,20,4,80
2024-04-16,106,Item F,Clothing,10,4,40
2024-03-12,106,Item F,Clothing,10,11,110
2024-01-21,104,Gadget D,Home,25,14,350
2024-04-12,102,Widget B,Electronics,30,3,90
2024-05-01,109,Accessory I,Accessories,8,19,152
2024-03-15,102,Widget B,Electronics,30,1,30
2024-03-28,103,Gadget C,Home,20,5,100
2024-04-26,110,Accessory J,Accessories,5,17,85
2024-04-09,101,Widget A,Electronics,50,1,50
2024-04-13,107,Product G,Beauty,12,19,228
2024-05-31,101,Widget A,Electronics,50,19,950
2024-05-10,109,Accessory I,Accessories,8,4,32
2024-05-29,101,Widget A,Electronics,50,19,950
2024-02-22,105,Item E,Clothing,15,6,90
2024-01-02,107,Product G,Beauty,12,15,180
2024-03-28,103,Gadget C,Home,20,4,80
2024-06-06,109,Accessory I,Accessories,8,1,8
2024-02-07,108,Product H,Beauty,18,17,306
2024-05-09,103,Gadget C,Home,20,11,220
2024-01-21,105,Item E,Clothing,15,17,255
2024-06-09,107,Product G,Beauty,12,1,12
2024-02-27,104,Gadget D,Home,25,9,225
2024-01-22,105,Item E,Clothing,15,14,210
2024-03-29,103,Gadget C,Home,20,15,300
2024-02-18,109,Accessory I,Accessories,8,1,8
2024-02-28,110,Accessory J,Accessories,5,2,10
2024-06-18,109,Accessory I,Accessories,8,18,144
2024-01-15,107,Product G,Beauty,12,18,216
2024-06-23,110,Accessory J,Accessories,5,6,30
2024-02-20,102,Widget B,Electronics,30,20,600
2024-04-17,107,Product G,Beauty,12,8,96
2024-02-24,107,Product G,Beauty,12,1,12
2024-03-04,105,Item E,Clothing,15,15,225
2024-05-10,109,Accessory I,Accessories,8,10,80
2024-02-20,103,Gadget C,Home,20,4,80
2024-05-14,104,Gadget D,Home,25,10,250
2024-01-21,101,Widget A,Electronics,50,11,550
2024-03-13,106,Item F,Clothing,10,5,50
2024-06-15,104,Gadget D,Home,25,9,225
2024-01-18,101,Widget A,Electronics,50,5,250
2024-05-11,102,Widget B,Electronics,30,11,330
2024-03-29,103,Gadget C,Home,20,3,60
2024-02-29,109,Accessory I,Accessories,8,4,32
2024-01-14,108,Product H,Beauty,18,10,180
2024-01-09,107,Product G,Beauty,12,7,84
2024-03-30,104,Gadget D,Home,25,1,25
2024-02-22,101,Widget A,Electronics,50,6,300
2024-05-09,108,Product H,Beauty,18,8,144
2024-03-24,104,Gadget D,Home,25,17,425
2024-04-01,103,Gadget C,Home,20,7,140
2024-04-20,109,Accessory I,Accessories,8,1,8
2024-06-20,110,Accessory J,Accessories,5,9,45
2024-01-08,104,Gadget D,Home,25,11,275
2024-06-23,104,Gadget D,Home,25,19,475
2024-02-04,109,Accessory I,Accessories,8,2,16
2024-03-21,102,Widget B,Electronics,30,11,330
2024-06-12,105,Item E,Clothing,15,3,45
2024-02-19,104,Gadget D,Home,25,17,425
2024-04-13,109,Accessory I,Accessories,8,10,80
2024-05-11,105,Item E,Clothing,15,3,45
2024-01-02,109,Accessory I,Accessories,8,3,24
2024-05-13,109,Accessory I,Accessories,8,7,56
2024-02-23,102,Widget B,Electronics,30,2,60
2024-04-15,109,Accessory I,Accessories,8,1,8
2024-01-04,103,Gadget C,Home,20,7,140
2024-02-23,104,Gadget D,Home,25,20,500
2024-05-25,101,Widget A,Electronics,50,11,550
2024-02-13,101,Widget A,Electronics,50,6,300
2024-06-10,101,Widget A,Electronics,50,4,200
2024-01-14,109,Accessory I,Accessories,8,19,152
2024-04-04,108,Product H,Beauty,18,19,342
2024-02-17,105,Item E,Clothing,15,14,210
2024-01-15,105,Item E,Clothing,15,3,45
2024-02-09,109,Accessory I,Accessories,8,4,32
2024-03-22,103,Gadget C,Home,20,8,160
2024-04-20,103,Gadget C,Home,20,18,360
2024-02-22,107,Product G,Beauty,12,4,48
2024-01-24,109,Accessory I,Accessories,8,11,88
2024-06-02,106,Item F,Clothing,10,16,160
2024-05-03,102,Widget B,Electronics,30,3,90
2024-02-10,101,Widget A,Electronics,50,7,350
2024-06-05,102,Widget B,Electronics,30,2,60
2024-01-15,101,Widget A,Electronics,50,1,50
2024-02-14,110,Accessory J,Accessories,5,1,5
2024-03-05,110,Accessory J,Accessories,5,6,30
2024-03-29,109,Accessory I,Accessories,8,19,152
2024-03-11,110,Accessory J,Accessories,5,7,35
2024-01-09,108,Product H,Beauty,18,5,90
2024-03-28,107,Product G,Beauty,12,18,216
2024-05-08,103,Gadget C,Home,20,13,260
2024-05-15,108,Product H,Beauty,18,1,18
2024-03-03,102,Widget B,Electronics,30,10,300
2024-05-18,102,Widget B,Electronics,30,9,270
2024-03-21,110,Accessory J,Accessories,5,17,85
2024-05-15,103,Gadget C,Home,20,1,20
2024-06-11,107,Product G,Beauty,12,1,12
2024-06-11,101,Widget A,Electronics,50,7,350
2024-02-02,108,Product H,Beauty,18,4,72
2024-05-02,107,Product G,Beauty,12,12,144
2024-01-05,104,Gadget D,Home,25,16,400
2024-02-10,105,Item E,Clothing,15,14,210
2024-01-28,110,Accessory J,Accessories,5,10,50
2024-05-14,101,Widget A,Electronics,50,14,700
2024-03-12,104,Gadget D,Home,25,7,175
2024-01-12,101,Widget A,Electronics,50,4,200
2024-06-10,101,Widget A,Electronics,50,2,100
2024-02-02,110,Accessory J,Accessories,5,18,90
2024-02-17,101,Widget A,Electronics,50,16,800
2024-05-30,107,Product G,Beauty,12,9,108
2024-03-02,107,Product G,Beauty,12,5,60
2024-02-06,104,Gadget D,Home,25,9,225
2024-04-08,102,Widget B,Electronics,30,8,240
2024-06-20,103,Gadget C,Home,20,20,400
2024-04-13,108,Product H,Beauty,18,16,288
2024-02-04,108,Product H,Beauty,18,20,360
2024-04-10,106,Item F,Clothing,10,18,180
2024-06-23,110,Accessory J,Accessories,5,4,20
2024-05-10,109,Accessory I,Accessories,8,16,128
2024-01-01,109,Accessory I,Accessories,8,4,32
2024-01-05,104,Gadget D,Home,25,6,150
2024-05-21,101,Widget A,Electronics,50,3,150
2024-04-12,101,Widget A,Electronics,50,18,900
2024-01-27,110,Accessory J,Accessories,5,15,75
2024-05-16,105,Item E,Clothing,15,8,120
2024-01-15,102,Widget B,Electronics,30,18,540
2024-03-30,106,Item F,Clothing,10,3,30
2024-02-11,107,Product G,Beauty,12,6,72
2024-05-03,101,Widget A,Electronics,50,15,750
